X,Y
2401.412,1392.235
2451.471,1392.765
1927.108,1399.081
2677.727,1400.753
1920.103,1400.276
2978.481,1399.685
962.8163,1402.092
2569.457,1403.457
1901.677,1402.309
2322.081,1406.69
2702.4,1401.7
1738.239,1407.958
2073.128,1407.213
1536.308,1405.769
1985.536,1407.464
2290.364,1410.231
3118.733,1409.7
3014.192,1410.359
3023.844,1410.182
3199.48,1408.1
2549.532,1412.553
1577.945,1413.927
2424.822,1415.356
2989.762,1414.841
998.9231,1414.708
2231.871,1415.581
1060.231,1415.077
1136.849,1414.788
2082.909,1413.909
3064.692,1413.615
923.6207,1419.793
1618.2,1416.582
1674.07,1417.737
3092.714,1418.531
1513.321,1421.245
2270.024,1419.238
932.6316,1421
1349.714,1420.786
1902.654,1421.923
3120.44,1429.024
1716.037,1420.963
3107.667,1426.861
980.8104,1427.914
1629.434,1430.138
2367.983,1431.086
2952.282,1427.59
3079.5,1430.885
2349.421,1428.263
2432.171,1430.829
828.125,1433.302
1335.571,1431.583
1898.071,1428.286
2378.203,1434.689
2513.138,1437.747
1837.534,1435.753
1617.636,1433.455
2560.539,1438.506
2944.256,1437.846
1137,1437
1940.123,1442.947
2746.312,1439.492
1403.737,1441.132
1513.324,1443.254
2348.512,1446.363
2556.588,1446.118
848.7283,1457.011
2210.72,1448.44
2224.28,1453.74
1509.031,1453.446
1525.376,1453.465
2333.667,1449.75
2963.645,1450.097
2365.692,1452.538
2407.121,1451.758
2940.49,1454.66
1559.464,1457.964
1127.969,1456.25
2786.717,1458.891
3067.489,1461.693
1637.286,1460.603
2979.1,1459.1
1538.143,1460.321
1630.143,1462.333
2240.386,1467.591
2972.354,1464.544
882.5185,1464.049
1650.767,1467.552
1917.132,1463.947
964.5424,1468.373
1001.109,1470.288
1885.853,1466.647
1446.046,1470.538
2991.259,1469.519
2532.412,1468.765
2915.276,1479.173
2933.986,1475.586
2918.063,1469.313
814.0704,1473.408
895.5844,1473.532
1914.741,1474.603
841.375,1474.271
2205.489,1472.622
2922.85,1473.35
1856.871,1479.423
1695.862,1478.446
3174.178,1477.616
2655.633,1484.214
1524.667,1479.373
866.1039,1482.662
2844.325,1485.06
2334.696,1483.967
966.3235,1483.632
1295.014,1484.871
1520.729,1489.864
1865,1489.633
2683.729,1489.094
1048.907,1490.593
1852.933,1488.667
1857.947,1490.158
1115.356,1495.05
2335.898,1495.102
2611.866,1497.061
2672.603,1494.238
938.5765,1497.988
1547.423,1495.538
988.875,1497.625
1419.105,1497.825
1803.122,1497.195
844.6296,1509.389
2995.524,1497.238
2444.211,1501.75
2677.121,1506.318
2942.029,1502.118
1541.517,1504.586
1942.15,1505.017
1959.559,1507.271
2171.762,1505.095
1617.195,1508.756
754.7969,1511.797
2295.778,1509.333
1696.177,1513.672
2732.488,1515.451
1211.296,1517.6
1267.226,1515.032
1593.121,1514.151
1872.724,1514.655
2432.962,1514.226
2856.677,1514.419
2182.416,1519.751
2765.655,1521.403
1856.636,1515.091
2328.866,1520.207
2852.636,1519
2143.183,1521.6
2159.245,1520.102
2347.238,1518.786
926.625,1521.431
1509.361,1522.711
1611.784,1522.973
1941.359,1523.943
1091.11,1528.154
2534.62,1525.62
1186.312,1528.844
1223.043,1530.015
3168.758,1531.232
2200.37,1529.593
2333.8,1530.25
3156.591,1529.341
1507.606,1531.578
3216.193,1532.544
1340.905,1536.569
2356.804,1534.5
2552.861,1535.65
1066.647,1533.353
3134.897,1538.51
737.2344,1537.297
2175.643,1534.929
2523.271,1544.213
1171.75,1537.5
2538.438,1536.625
2987.741,1538.296
2260.151,1543.26
2597.5,1539.286
2982,1540.844
3264.471,1544.953
3072.031,1545.154
2648.475,1546.662
3017,1545.434
1575.944,1545.222
1675.471,1547.157
846.3333,1546.792
1874.169,1547.954
2096.418,1550.418
983.5455,1548.091
2398.447,1549.339
2589.842,1547.158
2791.135,1552.975
3150.886,1549.857
858.75,1552.615
1057.484,1553.226
1534.468,1556.617
2104.302,1555.116
3156.091,1555.151
1714.754,1564
1053.32,1559
875.3636,1559.182
1704.96,1561.36
3051.928,1563.3
2107.611,1562.056
2519.935,1564.783
2589.636,1564.727
847.625,1567.156
1401.848,1566.261
1499.5,1565.5
2659.4,1567.988
3151.934,1569
1700.417,1566.75
3173.34,1568.604
1182.635,1571.811
1689.347,1570.51
2573.65,1574.815
1462.895,1575.368
828.1429,1576.02
1701.361,1577.361
1832.67,1581.138
2655.79,1578.105
1266.794,1581.48
2150.605,1580.158
1712.417,1582
2561.525,1583.6
1606.394,1582.242
2398.508,1584.984
1857.814,1584.61
2258.783,1583.917
1847.391,1584.13
3110.848,1588.939
851.0769,1586.308
2250.426,1592.315
1535.25,1589.909
3200.692,1589.103
2213.833,1591.104
2537,1593.984
2694.125,1588.804
2262.548,1589.742
2678.63,1588.333
2906.813,1589.563
814.5366,1592.024
827.8082,1591.027
1438.048,1591.571
2550.811,1590.132
1973.922,1593.156
3225.072,1594.048
1673.936,1596.319
